Nome;Tipo;Nome UTM;Link;Filtros;Texto Legal;;;;;;;;;;;;;;;;;;;;;;;
Shampoo_Subcategoria;Subcategoria;shampoo;www.natura.com.br/c/cabelos/lavar/shampoo;;;;;;;;;;;;;;;;;;;;;;;;;
Condicionador_Subcategoria;Subcategoria;condicionador;www.natura.com.br/c/cabelos/lavar/condicionador;;;;;;;;;;;;;;;;;;;;;;;;;
Capsulas_Tratamento_cabelo;Subcategoria;capsulascabelo;www.natura.com.br/c/cabelos/tratar/capsulas;;;;;;;;;;;;;;;;;;;;;;;;;
Mascara_Subcategoria;Subcategoria;mascara;www.natura.com.br/c/cabelos/tratar/mascara;;;;;;;;;;;;;;;;;;;;;;;;;
Ampolas_Subcategoria;Subcategoria;ampola;www.natura.com.br/c/cabelos/tratar/ampolas;;;;;;;;;;;;;;;;;;;;;;;;;
Tonico_Subcategoria;Subcategoria;tonico;www.natura.com.br/c/cabelos/tratar/tonico;;;;;;;;;;;;;;;;;;;;;;;;;
mascara_e_ampolas;Subcategoria;mascaraeampola;www.natura.com.br/c/cabelos/mascara-e-ampola;;;;;;;;;;;;;;;;;;;;;;;;;
Oleos_Tratamento_cabelo;Subcategoria;oleostratamento;www.natura.com.br/c/cabelos/tratar/oleos;;;;;;;;;;;;;;;;;;;;;;;;;
Creme para Pentear_Subcategoria;Subcategoria;cremeparapentear;www.natura.com.br/c/cabelos/finalizar/creme-para-pentear;;;;;;;;;;;;;;;;;;;;;;;;;
Gel Fixador_Subcategoria;Subcategoria;gelfixador;www.natura.com.br/c/cabelos/finalizar/gel-fixador;;;;;;;;;;;;;;;;;;;;;;;;;
Spray_Subcategoria;Subcategoria;spray;www.natura.com.br/c/cabelos/finalizar/spray;;;;;;;;;;;;;;;;;;;;;;;;;
Perfume para Cabelos_Subcategoria;Subcategoria;perfumeparacabelos;www.natura.com.br/c/cabelos/finalizar/perfume-para-cabelos;;;;;;;;;;;;;;;;;;;;;;;;;
Espuma de Barbear_Subcategoria;Subcategoria;espumadebarbear;www.natura.com.br/c/barba/barbear/espuma-de-barbear;;;;;;;;;;;;;;;;;;;;;;;;;
Creme de Barbear_Subcategoria;Subcategoria;cremedebarbear;www.natura.com.br/c/barba/barbear/creme-de-barbear;;;;;;;;;;;;;;;;;;;;;;;;;
Oleo de Barbear_Subcategoria;Subcategoria;oleodebarbear;www.natura.com.br/c/barba/barbear/oleo-de-barbear;;;;;;;;;;;;;;;;;;;;;;;;;
Gel Pos Barba_Subcategoria;Subcategoria;gelposbarba;www.natura.com.br/c/barba/pos-barbear/gel-pos-barba;;;;;;;;;;;;;;;;;;;;;;;;;
Condicionador_Infantil;Subcategoria;condicionadorinfantil;www.natura.com.br/c/infantil/cabelos/condicionador;;;;;;;;;;;;;;;;;;;;;;;;;
Finalizador Cabelo Infantil_Subcategoria;Subcategoria;finalizadorcabeloinfantil;www.natura.com.br/c/infantil/cabelos/finalizador;;;;;;;;;;;;;;;;;;;;;;;;;
Shampoo_Infantil;Subcategoria;shampooinfantil;www.natura.com.br/c/infantil/cabelos/shampoo;;;;;;;;;;;;;;;;;;;;;;;;;
Colonia_Subcategoria;Subcategoria;colonia;www.natura.com.br/c/infantil/colonia;;;;;;;;;;;;;;;;;;;;;;;;;
Hidratantes Corpo e Banho_Infantil;Subcategoria;hidratantescorpo;www.natura.com.br/c/infantil/corpo-e-banho/hidratantes;;;;;;;;;;;;;;;;;;;;;;;;;
Lencos-Umedecidos_Subcategoria;Subcategoria;lencosumedecidos;www.natura.com.br/c/infantil/corpo-e-banho/lencos-umedecidos;;;;;;;;;;;;;;;;;;;;;;;;;
Protecao-Solar_Subcategoria;Subcategoria;protecaosolar;www.natura.com.br/c/infantil/corpo-e-banho/protecao-solar;;;;;;;;;;;;;;;;;;;;;;;;;
Sabonetes_Infantil_Subcategoria;Subcategoria;sabonetesinfantil;www.natura.com.br/c/infantil/corpo-e-banho/sabonetes;;;;;;;;;;;;;;;;;;;;;;;;;
Oleos_Infantil;Subcategoria;oleosinfantil;www.natura.com.br/c/infantil/corpo-e-banho/oleos;;;;;;;;;;;;;;;;;;;;;;;;;
Presentes em Perfumaria_Subcategoria;Subcategoria;presentesemperfumaria;www.natura.com.br/c/presentes/presentes/perfumaria;;;;;;;;;;;;;;;;;;;;;;;;;
Acessorios_Subcategoria;Subcategoria;acessorios;www.natura.com.br/c/presentes/acessorios;;;;;;;;;;;;;;;;;;;;;;;;;
Presentes_Corpo;Subcategoria;presentecorpo;www.natura.com.br/c/presentes/presentes/corpo;;;;;;;;;;;;;;;;;;;;;;;;;
Casa_Subcategoria;Subcategoria;casa;www.natura.com.br/c/presentes/moda-e-casa/casa;;;;;;;;;;;;;;;;;;;;;;;;;
Papelaria_Subcategoria;Subcategoria;papelaria;www.natura.com.br/c/presentes/moda-e-casa/papelaria;;;;;;;;;;;;;;;;;;;;;;;;;
CuidadosDiarios_CuidadosIntimos;categoria;cuidadosdiariosintimos;www.natura.com.br/c/cuidados-diarios/banho/cuidados-intimos;;;;;;;;;;;;;;;;;;;;;;;;;
Hidratante_Maos;categoria;hidratentemaos;www.natura.com.br/c/cuidados-diarios/maos-e-pes/hidratantes;;;;;;;;;;;;;;;;;;;;;;;;;
Sabonetes_Todo_Dia;categoria;sabonetetododia;www.natura.com.br/c/cuidados-diarios/banho/sabonetes;"product_line=%5B""Tododia""%5D";;;;;;;;;;;;;;;;;;;;;;;;
Batom_Faces;categoria;batomfaces;www.natura.com.br/c/maquiagem/boca/batom;"product_line=%5B""Faces""%5D";;;;;;;;;;;;;;;;;;;;;;;;
Base_Aquarela;categoria;baseaquarela;www.natura.com.br/c/maquiagem/rosto/base;"product_line=%5B""Aquarela""%5D";;;;;;;;;;;;;;;;;;;;;;;;
Essencial Perfumaria Feminina;categoria;essencialperfumariafeminina;www.natura.com.br/c/perfumaria/perfumaria-feminina;product_line=%5B%22Essencial%22%5D;;;;;;;;;;;;;;;;;;;;;;;;
Ekos_Maos_e_Pes;categoria;ekosmaosepes;www.natura.com.br/c/cuidados-diarios/maos-e-pes;product_line=%5B%22Ekos%22%5D;;;;;;;;;;;;;;;;;;;;;;;;
Ekos_Alma;categoria;ekosalma;www.natura.com.br/ekos/alma;;;;;;;;;;;;;;;;;;;;;;;;;
Desodorante_ervadoce;categoria;desodoranteervadoce;www.natura.com.br/c/cuidados-diarios/corpo/desodorantes;"product_line=%5B""Erva+Doce""%5D";;;;;;;;;;;;;;;;;;;;;;;;
Fotoequilibrio_Infantil;categoria;fotoequilibrioinfantil;www.natura.com.br/fotoequilibrio;"categories=%5B""Infantil""%5D";;;;;;;;;;;;;;;;;;;;;;;;
Limpezaetonificação;categoria;limpezaetonificacao;www.natura.com.br/c/cuidados-diarios/rosto/limpeza-e-tonificacao;;;;;;;;;;;;;;;;;;;;;;;;;
Batom_Una;categoria;batomuna;www.natura.com.br/c/maquiagem/boca/batom;"product_line=%5B""Una""%5D";;;;;;;;;;;;;;;;;;;;;;;;
Ekos_Buriti;Subcategoria;ekosburiti;www.natura.com.br/ekos;"product_active=%5B""Buriti""%5D";;;;;;;;;;;;;;;;;;;;;;;;
Encontre a Natura;Omnichannel;encontreanatura;www.natura.com.br/encontre-a-natura;;;;;;;;;;;;;;;;;;;;;;;;;
Lançamentos em perfumaria;geral;lancamentosperfumaria;www.natura.com.br/c/tudo-em-lancamentos-perfumaria;;;;;;;;;;;;;;;;;;;;;;;;;
Lançamentos em cabelos;geral;lancamentoscabelo;www.natura.com.br/c/tudo-em-lancamentos-cabelo;;;;;;;;;;;;;;;;;;;;;;;;;
Projetos Sociais;;projetossociais;www.natura.com.br/projetos-sociais;;;;;;;;;;;;;;;;;;;;;;;;;
Conheça os 5 motivos;Landing informativa;motivosparacomprar;www.natura.com.br/motivos-para-comprar-natura-online;;;;;;;;;;;;;;;;;;;;;;;;;
5 motivos;Cupom;5motivos;www.natura.com.br/c/promocao-5-motivos;;"*Promoção do cupom ""5MOTIVOS"" é válida enquanto durarem os estoques. Aplicável apenas para clientes e produtos selecionados. Limitado a 1.000 utilizações. Exceto Presentes, Outlet, Crer Para Ver. Necessário incluir cupom na página de pagamento.";;;;;;;;;;;;;;;;;;;;;;;
Natura_Homem_cabelos;departamento;homem_cabelos;www.natura.com.br/Homem;categories=%5B%22Cabelos%22%5D;;;;;;;;;;;;;;;;;;;;;;;;
Outlet;outlet;outlet;www.natura.com.br/c/outlet;;"*Promoção ""Outlet"" é válida por tempo limitado ou enquanto durarem os estoques.";;;;;;;;;;;;;;;;;;;;;;;
Especial Masculino;Perene;especialmasculino;www.natura.com.br/c/especial-masculino;;;;;;;;;;;;;;;;;;;;;;;;;
Refis;Ação geral;refis;www.natura.com.br/c/refis;;"*Promoção ""Refis"" é válida por tempo limitado ou enquanto durarem os estoques. A seleção de produtos pode alterar durante o período da promoção.";;;;;;;;;;;;;;;;;;;;;;;
Sabonete_Ekos;;saboneteekos;www.natura.com.br/c/cuidados-diarios/banho/sabonetes;"product_line=%5B""Ekos""%5D";;;;;;;;;;;;;;;;;;;;;;;;
Bodysplash_Tododia;;bodysplash;www.natura.com.br/tododia;"product_facet_occasion=%5B""Dia+a+Dia""%5D";;;;;;;;;;;;;;;;;;;;;;;;
Lumina_lançamentos;;luminalancamentos;www.natura.com.br/Lumina;categories=%5B%22Tudo+em+Lan%C3%A7amentos+Cabelo%22%5D;;;;;;;;;;;;;;;;;;;;;;;;
